Name,Studio,Description,Founded,Amount Raised,Crunchbase URL,LinkedIn URL,Website,# Employees,End Customer,Industry,City,State,Country,Status
AlphaStaff,Accretive,"Partner with AlphaStaff's HRO Experts to manage all your Human Resource needs, including Payroll & Tax, Benefits, Recruitment and more.",1997,,https://www.crunchbase.com/organization/alphastaff,https://www.linkedin.com/company/alphastaff/,https://www.alphastaff.com/,212,Business,Human Resources Services,Fort Lauderdale,FL,USA,Active
Arise,Accretive,"Arise Virtual Solutions offers a cloud-based platform to provide customer management BPO, call center outsourcing solutions, and more",1994,,https://www.crunchbase.com/organization/arise-virtual-solutions,https://www.linkedin.com/company/arise/,https://www.arise.com/,"2,803",Business,Outsourcing and Offshoring Consulting,Miramar Beach,FL,USA,Acquired
Everspring,Accretive,Everspring develops online and hybrid courses that deliver engagement free from traditional constraints.,2011,$64,https://www.crunchbase.com/organization/everspring,https://www.linkedin.com/company/everspring-inc/,https://www.everspringpartners.com/,201,Business,Education,Evanston,IL,USA,Active
Exult,Accretive,Provides human resource business process outsourcing services worldwide,2004,$60,https://www.crunchbase.com/organization/exult,https://www.linkedin.com/company/exult/,,54,Business,Human Resources Services,Irvine,CA,USA,Acquired
Fandango,Accretive,Fandango is a corporation that sells movie tickets via telephone and Internet.,2000,$45,https://www.crunchbase.com/organization/fandango,https://www.linkedin.com/company/fandango/,https://www.fandango.com/,445,Consumer,Entertainment,Los Angeles,CA,USA,Acquired
Insureon,Accretive,Insureon is the number one independent marketplace for online delivery of small business,2011,$31,https://www.crunchbase.com/organization/insureon,https://www.linkedin.com/company/insureon/,https://www.insureon.com/,136,Business,Insurance,Chicago,IL,USA,Acquired
Xchanging,Accretive,Xchanging is one of the largest and fastest growing business processors.,1999,,https://www.crunchbase.com/organization/xchanging,https://www.linkedin.com/company/xchanging/,https://dxc.com/us/en/,"2,199",Business,Outsourcing and Offshoring Consulting,London,,UK,Acquired
Eloqueens,adVentures studio,Education startup,2016,,https://www.crunchbase.com/organization/eloquens,https://www.linkedin.com/company/eloquens/,https://www.eloquens.com/,18,Consumer,Education,New York,NY,USA,Active
Gegtech,adVentures studio,Genetic research,2010,,,https://www.linkedin.com/company/geg-tech-com/,https://www.geg-tech.com/,8,Business,Medicine,Villebon-sur-Yvette,,France,Active
Uart,adVentures studio,Unvailing private art,2016,,,https://www.linkedin.com/company/uart.com/,https://web.archive.org/web/20210422033125/https://uart.com/,2,Consumer,Art,Paris,,France,Closed
Wimi,adVentures studio,Workplace software,2010,,https://www.crunchbase.com/organization/wimi,https://fr.linkedin.com/company/cloud-solutions-sas/,https://www.wimi-teamwork.com/,50,Business,Enterprise software,Paris,,France,Active
Hume AI,Aegis Ventures,The expressive communication toolkit for researchers and developers,2021,$5,https://www.crunchbase.com/organization/hume-ai,https://www.linkedin.com/company/hume-ai/,https://hume.ai/,20,Business,Research Services,New York,NY,USA,Active
Formulate,Agility Collective,Expediting the move to individualized self care products and drugs to improve human health.,2018,$1,https://www.crunchbase.com/organization/formulate-co,https://www.linkedin.com/company/formulate.co/,https://www.formulate.co/,19,Consumer,Personal Care,Menlo Park,CA,USA,Active
JORD,Agility Collective,JORD is an innovative designer of timepieces featuring natural materials.,2015,,https://www.crunchbase.com/organization/jord-wood-watches,https://www.linkedin.com/company/jordco/,https://www.jord.co/,24,Consumer,Retail Apparel and Fashion,Ballwin,MO,USA,Active
Smile Brilliant,Agility Collective,Teeth whitening & oral care backed by science. Passionately engineered for everyone.,2014,,https://www.crunchbase.com/organization/smile-brilliant-professional-teeth-whitening,https://www.linkedin.com/company/smile-brilliant/,https://www.smilebrilliant.com/,15,Consumer,Health Care,St. Louis,MO,USA,Active
Customs Bridge,Alacrite France,"At Customs Bridge, we believe that AI and new technologies can bring comfort, security and speed in the rapidly changing world of customs and trade.",2020,,,https://www.linkedin.com/company/customsbridge/,https://customsbridge.fr/,12,Business,Software Development,Lille,,France,Active
Diskyver,Alacrite France,Diskyver is a company that uses Saas solutions for all telephone management systems with all the alert and safety measures.,2018,,https://www.crunchbase.com/organization/diskyver,https://www.linkedin.com/company/diskyver/?originalSubdomain=fr,https://diskyver.com/,12,Business,Telecommunications,Lille,,France,Active
Eunomart,Alacrite France,"Created specifically for art professionals, our software allows the analysis of risks affecting their activity.",2019,,,https://www.linkedin.com/company/eunomart/,https://www.eunomart.com/,8,Business,Software Development,Paris,,France,Active
Lota.cloud,Alacrite France,Lota Cloud is a company that helps in reducing cloud expenses using various multi-cloud service providers by simplifying its services.,2019,$1,https://www.crunchbase.com/organization/lota-cloud,https://www.linkedin.com/company/lotacloud/,https://lota.cloud/en/,10,Business,Data Services,Lille,,France,Active
Oversoc,Alacrite France,"Oversoc helps cybersecurity and network experts monitor closely their IT infrastructure, in real time.",2020,,,https://www.linkedin.com/company/oversoc/,https://www.oversoc.com/,14,Business,Cybersecurity,Lille,,France,Active
Phedone,Alacrite France,Phedone is a SaaS tool based on Artificial Intelligence and Collective Intelligence.,2019,,https://www.crunchbase.com/organization/phedone,https://www.linkedin.com/company/phedone/,https://phedone.com/en/,8,Business,Software Development,Reims,,France,Active
Privamap,Alacrite France,A geo-navigation service for industrial sites.,2021,,,https://www.linkedin.com/company/privamap/,https://privamap.com/,10,Business,Logistics,Lille,,France,Active
RFence,Alacrite France,"Detect, Locate and Analyze all devices emitting radio waves.",2021,,,https://www.linkedin.com/company/rfence/,https://www.rfence.fr/,9,Business,Telecommunications,Lille,,France,Active
Spread the Live,Alacrite France,Our application allows you to manage the broadcasting of your match or your event for a professional rendering thanks to the cameras installed at strategic points of your place of sports meetings.,2020,,,https://www.linkedin.com/company/spreadthelive/,https://spreadthelive.com/,4,Business,Video Broadcasting,Lille,,France,Active
Trust Eat,Alacrite France,TrustEat is a SaaS for warning cold chain breaches for food professional. B,2018,,,https://www.linkedin.com/company/trusteat/,https://trust-eat.com/en/cold-chain-and-haccp/,11,Business,Software Development,Lille,,France,Active
Vizio Sense,Alacrite France,Edge Computer Vision solutions to optimize operations of businesses & cities while respecting privacy,2020,,https://www.crunchbase.com/organization/viziosense,https://www.linkedin.com/company/viziosense/,https://www.viziosense.com/,7,Business,Software Development,Lille,,France,Active
Whispeak,Alacrite France,Whispeak is in the telecommunications industry that offers a secure and easy-to-use voiceprint authentication solution.,2019,,https://www.crunchbase.com/organization/whispeak,https://www.linkedin.com/company/whispeak/,https://whispeak.io/en/home-voice-biometrics/,12,Business,Telecommunications,Lille,,France,Active
Encepta,Alacrity,"Encepta is an Infrastructure data fusion and collaboration for telecommunications, utilities.",2012,,https://www.crunchbase.com/organization/encepta,https://www.linkedin.com/company/enceptacorp/,https://www.encepta.net/,89,Business,Telecommunications,Burnaby,,Canada,Acquired
Pretio Interactive,Alacrity,Pretio is an engagement and monetization plug-in allowing brands to offer rewards to fans for social sharing and shopping.,2013,,https://www.crunchbase.com/organization/pretio-interactive,https://www.linkedin.com/company/pretioco/,http://pretiointeractive.com/,1,Business,Advertising Services,Victoria,,Canada,Acquired
Martian Labs,Albatross Ventures,An agency on a mission to help B2B startups take off.,2021,,,https://www.linkedin.com/company/martian-labs/,https://www.martianlabs.xyz/,3,Business,Advertising Services,Los Angeles,CA,USA,Active
QuickChat,Albatross Ventures,QuickChat is the instant messaging tool that connects prospects directly to your team’s account manager with just one click.,,,,https://www.linkedin.com/company/get-quickchat/,https://www.quickchat.co/,0,Business,Advertising Services,Los Angeles,CA,USA,Active
QuickRemind,Albatross Ventures,"QuickRemind automatically sends email reminders to your meeting attendees, so you’ll never be left hanging again.",2020,,,https://www.linkedin.com/company/quickremind/,https://www.quickremind.co/,0,Business,Advertising Services,Denver,CO,USA,Active
WellCheck,Albatross Ventures,WellCheck is an app that provides social support and regular monitoring for patients with mental health conditions.,,,,,https://www.wellcheck.io/,0,Business,Health Care,,,,Active
Socialize,Alive Ventures,Socialize platform with its easy tutorials helps anyone create content on social media,2022,$0,https://www.crunchbase.com/organization/socialize-b156,https://www.linkedin.com/company/hellosocialize/,https://www.hellosocialize.com/,1,Business,Media Production,New York,NY,USA,Active
Carrot,All Turtles,Fertility planning app for employers and health plans,2016,$114,https://www.crunchbase.com/organization/carrot-fertility,https://www.linkedin.com/company/get-carrot/,https://www.get-carrot.com/,339,Business,Health Care,Menlo Park,CA,USA,Active
Disco,All Turtles,"Disco helps your team recognize one another's contributions, big and small, and quantifies that feedback to keep your culture on track.",2014,$2,https://www.crunchbase.com/organization/growbot,https://www.linkedin.com/company/trydisco/,https://values.justdisco.com/,46,Business,Human Resources Services,San Francisco,CA,USA,Acquired
Mmhmm,All Turtles,Video collaboration tool,2020,$140,https://www.crunchbase.com/organization/mmhmm,https://www.linkedin.com/company/mmhmmapp/,https://www.mmhmm.app/home,106,Business,Software Development,San Francisco,CA,USA,Active
Replika,All Turtles,An AI companion who cares,2013,$11,https://www.crunchbase.com/organization/io,https://www.linkedin.com/company/replikaai/,https://replika.ai/,40,Consumer,Health and Wellness,San Francisco,CA,USA,Active
Salty,All Turtles,Consumer insurance aggregator,2019,$57,https://www.crunchbase.com/organization/salty-dot-insurance-agency,https://www.linkedin.com/company/saltyinc/,https://wearesalty.com/,48,Consumer,Insurance,Hoffman Estates,IL,USA,Acquired
Sift,All Turtles,"Sift News Therapy is an iOS app that helps you pause, reflect, and expand your perspective on the news.",2019,,https://www.crunchbase.com/organization/sift-news-therapy,,https://siftnewstherapy.com/,,Consumer,Health and Wellness,San Francisco,CA,USA,Active
Sonora,All Turtles,Sonora is a learning platform that provides a 12-week intensive program to develop practiced skills.,2019,,https://www.crunchbase.com/organization/sonora,https://www.linkedin.com/company/learnwithsonora/,https://learnwithsonora.com/,3,Consumer,E-Learning Provider,Boulder,CO,USA,Active
Sunflower Labs,All Turtles,Autonomous drone-based security system,2016,$6,https://www.crunchbase.com/organization/sunflower-labs,https://www.linkedin.com/company/sunflower-labs/,https://sunflower-labs.com/,25,Consumer,Physical Security,San Francisco,CA,USA,Active
Talk to Spot,All Turtles,Chatbot process automation for sensitive workplace reports and complaints,2018,,https://www.crunchbase.com/organization/spot-7781,https://www.linkedin.com/company/talktospot/,https://talktospot.com/index,51,Business,Human Resources Services,San Francisco,CA,USA,Active
Tasseled,All Turtles,"Tasseled is the smarter, more affordable way to plan and get the college degree you want.",2018,,https://www.crunchbase.com/organization/tasseled,https://www.linkedin.com/company/try-tasseled/,https://www.tasseled.com/,6,Consumer,Education,New York,NY,USA,Active
Tellus,All Turtles,"Tellus is a growing, mission-driven, health-tech start-up focused on improving healthcare, and eldercare in particular.",2017,$7,https://www.crunchbase.com/organization/tellus-you-care,https://www.linkedin.com/company/tellusyoucare/,https://www.tellusyoucare.com/,22,Consumer,Health Care,San Francisco,CA,USA,Active
Affect Therapeutics,AlleyCorp,App for breaking addiction,2020,$7,https://www.crunchbase.com/organization/affect-therapeutics,https://www.linkedin.com/company/affect-therapeutics/,https://www.affecttherapeutics.com/,36,Consumer,Healthcare,New York,NY,USA,Active
Auxa health,AlleyCorp,Enterprise software for health insurance,2022,$1,https://www.crunchbase.com/organization/nightingale-health-08af,https://www.linkedin.com/company/auxahealth/,https://www.auxahealth.com/,2,Business,Healthcare,New York,NY,USA,Active
Capable,AlleyCorp,Healthcare app creator tool,2020,$6,https://www.crunchbase.com/organization/capable-f0c7,https://www.linkedin.com/company/capable-health/,https://capablehealth.com/,32,Business,Healthcare,New York,NY,USA,Active
Cortina,AlleyCorp,Enables ecommerce sellers to sell more items,2017,$6,https://www.crunchbase.com/organization/cortina,https://www.linkedin.com/company/cortinaplatform/,https://www.cortinaplatform.com/,24,Business,Consumer Goods,New York,NY,USA,Active
Department Studios,AlleyCorp,Multi-platform digital entertainment,2020,,https://www.crunchbase.com/organization/department-studios,https://www.linkedin.com/company/department-studios-inc/,https://www.deptstudios.com/,7,Consumer,Digital Media,New York,NY,USA,Active
Diana Health,AlleyCorp,Mental health platform for mothers,2019,$11,https://www.crunchbase.com/organization/diana-health,https://www.linkedin.com/company/diana-health/,https://heydianahealth.com/,14,Consumer,Healthcare,New York,NY,USA,Active
Gilt,AlleyCorp,Online sample sales,2007,$286,https://www.crunchbase.com/organization/gilt-groupe,https://www.linkedin.com/company/giltny/,https://www.gilt.com/boutique/,346,Consumer,Clothing,New York,NY,USA,Active
Humming Homes,AlleyCorp,Home maintainance,2019,$8,https://www.crunchbase.com/organization/humming-homes,https://www.linkedin.com/company/humming-homes/,https://humminghomes.com/,32,Consumer,Home maintainance,New York,NY,USA,Active
Insider,AlleyCorp,Business news website,2007,$56,https://www.crunchbase.com/organization/business-insider,https://www.linkedin.com/company/businessinsider/,https://www.businessinsider.com/,700,Consumer,Digital Media,New York,NY,USA,Active
mixo,AlleyCorp,Food videos social media app,2021,,,https://www.linkedin.com/company/mixohq/,https://mixo.co/,15,Consumer,Digital Media,New York,NY,USA,Active
mongoDB,AlleyCorp,Document database,2009,$311,https://www.crunchbase.com/organization/mongodb-inc,https://www.linkedin.com/company/mongodbinc/,https://www.mongodb.com/,4440,Business,Enterprise software,New York,NY,USA,Active
Nomad Health,AlleyCorp,Travel nursing platform,2015,$218,https://www.crunchbase.com/organization/nomad-health,https://www.linkedin.com/company/nomad_health/,https://nomadhealth.com/,737,Business,Healthcare,New York,NY,USA,Active
Pearl,AlleyCorp,Medicare patient healthcare enterprise software,2020,$20,https://www.crunchbase.com/organization/pearl-health,https://www.linkedin.com/company/pearl-health/,https://pearlhealth.com/,69,Business,Healthcare,New York,NY,USA,Active
residehealth,AlleyCorp,Medical care all-in-one platform,2020,,https://www.crunchbase.com/organization/reside-health,https://www.linkedin.com/company/reside-health/,https://www.reside.health/,16,Consumer,Healthcare,New York,NY,USA,Active
Synapsebio,AlleyCorp,Machine learning to dementia,2022,,,https://www.linkedin.com/company/synapsebio/,https://synapsebioai.com/,4,Business,Healthcare,New York,NY,USA,Active
transcend,AlleyCorp,Methylone pharmaseutical drug discovery,2021,,https://www.crunchbase.com/organization/transcend-therapeutics,https://www.linkedin.com/company/transcend-therapeutics/,https://www.transcendtherapeutics.com/,12,Business,Medical,New York,NY,USA,Active
Zola,AlleyCorp,Wedding planning and registry website,2013,$191,https://www.crunchbase.com/organization/zola,https://www.linkedin.com/company/zola-com/,https://www.zola.com/,300,Consumer,Weddings,New York,NY,USA,Active
CITIO,Anova,CITIO is a collaboration with RATP Dev to create a Big Data solution for innovative and sustainable urban mobility.,2018,,,https://www.linkedin.com/company/cit-io/,https://cit.io/,38,Business,Software Development,Paris,,France,Active
Pretto,Anova,Pretto is making mortgages simple thanks to artificial intelligence and product design.,2016,$39,https://www.crunchbase.com/organization/pretto,https://www.linkedin.com/company/pretto.fr/,https://www.pretto.fr/,206,Business,Finance,Paris,,France,Active
Alt.bank,Anthemis Group,Alt.bank develops a digital banking platform to improve the lives of unbanked and underbanked individuals.,2018,$6,https://www.crunchbase.com/organization/alt-bank,https://www.linkedin.com/company/alt-bank/,https://www.altbank.com.br/,111,Consumer,Finance,Sao Paolo,,Brazil,Active
Cledara,Anthemis Group,All-in-One SaaS management platform,2020,$4,https://www.crunchbase.com/organization/cledara,https://www.linkedin.com/company/cledara/,https://www.cledara.com/,44,Business,Finance,London,,UK,Active
DwellWell,Anthemis Group,Online platform that guides homebuyers through every step of the home buying process.,2021,$2,https://www.crunchbase.com/organization/dwellwell-afb6,https://www.linkedin.com/company/dwellwell1/,https://www.dwellwell.com/,15,Consumer,Real Estate,Los Angeles,CA,USA,Active
Greenspark,Anthemis Group,Giving companies the tools to maximise their positive impact.,2021,,https://www.crunchbase.com/organization/greenspark-122f,https://www.linkedin.com/company/get-greenspark/,https://www.getgreenspark.com/,9,Business,Environment,London,,UK,Active
Kinly,Anthemis Group,Kinly is a financial services company helping Black America build generational wealth.,2020,$20,https://www.crunchbase.com/organization/kinly-c638,https://www.linkedin.com/company/kinlyofficial/,https://bekinly.com/,48,Consumer,Finance,Kansas City,MO,USA,Active
Monax,Anthemis Group,Monax Labs is a web3 infrastructure studio that manages and maximizes Digital Property.,2014,,https://www.crunchbase.com/organization/monax-labs,https://www.linkedin.com/company/monax/,https://monax.io/,33,Business,Crypto,New York,NY,USA,Active
Nivelo,Anthemis Group,The Nivelo payment network unlocks instant and safe income payments.,2020,$4,https://www.crunchbase.com/organization/nivelofi,https://www.linkedin.com/company/nivelofi/,https://nivelo.io/,9,Business,Payments,New York,NY,USA,Active
Ohalo,Anthemis Group,Ohalo builds solutions for security and privacy data problems in the enterprise,2017,,https://www.crunchbase.com/organization/ohalo,https://www.linkedin.com/company/ohalo-limited/,https://www.ohalo.co/,30,Business,Software Development,London,,UK,Active
Silvur,Anthemis Group,Silvur is a retirement planning app that helps baby boomers reach their retirement goals.,2017,,https://www.crunchbase.com/organization/silvur,https://www.linkedin.com/company/kindur/,https://www.silvur.com/,9,Consumer,Finance,New York,NY,USA,Active
Stepex,Anthemis Group,"Providing the next generation of student finance, the world's first regulated ""Future Earnings agreements""",2017,$1,https://www.crunchbase.com/organization/stepex,https://www.linkedin.com/company/stepexchange/,https://www.stepex.co/,16,Consumer,Finance,London,,UK,Active
StepLadder,Anthemis Group,Fintech startup helping first time buyers raise money through collaborative finance and education.,2019,$3,https://www.crunchbase.com/organization/stepladder,https://www.linkedin.com/company/stepladder-uk-/,https://www.joinstepladder.com/,15,Consumer,Finance,London,,UK,Active
Swaypay,Anthemis Group,Program for payment cash back rewards,2019,$4,https://www.crunchbase.com/organization/swaypay-4259,https://www.linkedin.com/company/swaypayapp/,https://www.swaypayit.com/,15,Consumer,Finance,Chic/o,IL,USA,Active
Wollit,Anthemis Group,Finance app for credit building,2018,$2,https://www.crunchbase.com/organization/wollit,https://www.linkedin.com/company/wollit/,https://www.wollit.com/,10,Consumer,Finance,London,,UK,Active
zeVie Cars,Anthemis Group,Electric car shopping platform,2018,,,https://www.linkedin.com/company/zeviecars/,https://www.zeviecars.com/,3,Consumer,Automotive,London,,UK,Active
Suited,Arctos Ventures,Machine learning powered recruiting platform that is transforming the landscape of Investment Banking and Consulting recruitment.,2018,,https://www.crunchbase.com/organization/suited-54e5,https://www.linkedin.com/company/wellsuited/,https://www.wellsuited.com/,23,Business,IT Services and IT Consulting,Brooklyn,NY,USA,Active
Greenzie,Atlanta Ventures,"Greenzie’s mission is to free humans from repetitive outdoor labor, starting with the green industry - software for outdoor robotics",2018,$7,https://www.crunchbase.com/organization/greenzie,https://www.linkedin.com/company/greenzie/,https://www.greenzie.com/,18,Business,Software Development,Atlanta,GA,USA,Active
Intown Golf,Atlanta Ventures,"The private social club for avid golfers, thoughtfully crafted in the heart of your city.",2019,$2,https://www.crunchbase.com/organization/intown-golf-club,https://www.linkedin.com/company/intown-golf-club/,https://www.intowngolfclub.com/,21,Business,Hospitality,Atlanta,GA,USA,Active
Zeto,Atlanta Ventures,Zeto is a home management company that assists homeowners in scheduling and managing the maintenance needs of their homes.,2021,,https://www.crunchbase.com/organization/zeto-bb77,https://www.linkedin.com/company/zetohomes/,https://www.zeto.com/,6,Consumer,Home Management,Atlanta,GA,USA,Active
Adentro,Atomic,Platform that connects online marketing with in-store results,2012,,https://www.crunchbase.com/organization/adentro,https://www.linkedin.com/company/adentromarketing/,https://adentro.com/,79,Business,Digital Marketing,San Francisco,CA,USA,Active
BoomPop,Atomic,Online event and meeting hosting platform,2020,,https://www.crunchbase.com/organization/boombox-42b0,https://www.linkedin.com/company/boompop/,https://boompop.com/,47,Business,Software Development,San Francisco,CA,USA,Active
Bungalow,Atomic,"Short term, flexiable rentals",2017,$171,https://www.crunchbase.com/organization/bungalow,https://www.linkedin.com/company/bungalow-living/,https://bungalow.com/,169,Consumer,Real Estate,San Francisco,CA,USA,Active
Butter,Atomic,Payment intelligence platform,2020,$5,https://www.crunchbase.com/organization/butter-payments/people,https://www.linkedin.com/company/butterpayments/,https://www.butterpayments.com/,17,Business,Finance,San Francisco,CA,USA,Active
Found,Atomic,Personalized weight loss,2020,$132,https://www.crunchbase.com/organization/found-517b,https://www.linkedin.com/company/joinfoundhealth/,https://joinfound.com/,185,Consumer,Wellness,San Francisco,CA,USA,Active
Hims & Hers Health,Atomic,Telehealth and prescriptions,2017,$233,https://www.crunchbase.com/organization/hims,https://www.linkedin.com/company/hims-&-hers/,https://www.forhims.com/,505,Consumer,Wellness,San Francisco,CA,USA,Active
Homebound,Atomic,Tech-enabled homebuilder,2018,$128,https://www.crunchbase.com/organization/homebound,https://www.linkedin.com/company/homebound-construction/,https://www.homebound.com/,259,Consumer,Homebuilding,San Francisco,CA,USA,Active
Jumpcut,Atomic,Community focused NFT creation,2021,,https://www.crunchbase.com/organization/jumpcut-media,https://www.linkedin.com/company/jumpcut-media/,https://www.jumpcutmedia.com/,14,Consumer,Media,San Francisco,CA,USA,Active
OpenStore,Atomic,Marketplace to sell online stores,2021,$105,https://www.crunchbase.com/organization/openstore,https://www.linkedin.com/company/openstore/,https://open.store/,96,Business,eCommerce,Miami,FL,USA,Active
Paravision,Atomic,Facial recognition,2013,$52,https://www.crunchbase.com/organization/paravision-ai,https://www.linkedin.com/company/paravision-ai/,https://www.paravision.ai/,82,Business,Artificial Intelligence,San Francisco,CA,USA,Active
Playbook,Atomic,Financial planning tool focused on tax optimization,2020,$6,https://www.crunchbase.com/organization/playbook-b452,https://www.linkedin.com/company/playbookapp/,https://www.helloplaybook.com/home2,14,Consumer,Financial Planning,San Francisco,CA,USA,Active
Raydiant,Atomic,Cloud based digital screen management technology,2019,$70,https://www.crunchbase.com/organization/raydiant,https://www.linkedin.com/company/tryraydiant/,https://www.raydiant.com/,139,Business,Marketing,San Francisco,CA,USA,Active
Remrise,Atomic,Personalized sleep solutions,2018,$8,https://www.crunchbase.com/organization/remrise,https://www.linkedin.com/company/remrise/,https://remrise.com/,7,Consumer,Wellness,San Francisco,CA,USA,Active
Replicant,Atomic,Customer service AI software,2017,$113,https://www.crunchbase.com/organization/replicant-inc,https://www.linkedin.com/company/29011835/,https://www.replicant.ai/,133,Business,Customer Service,San Francisco,CA,USA,Active
Rested,Atomic,Sleep tracking technology,2015,$5,https://www.crunchbase.com/organization/rested,,,,Consumer,Wellness,San Francisco,CA,USA,Closed
TalkIQ,Atomic,A unified AI backed communications platform for businesses,2014,$14,https://www.crunchbase.com/organization/talkiq,https://www.linkedin.com/company/talkiq/,https://www.dialpad.com/,3,Business,Telecommunications,San Francisco,CA,USA,Acquired
Terminal,Atomic,Engineer hiring and onboarding,2017,$27,https://www.crunchbase.com/organization/terminal-io,https://www.linkedin.com/company/jointerminal/,https://terminal.io/,222,Business,Recruiting,San Francisco,CA,USA,Active
Villa,Atomic,Prefab home supplier,2019,$15,https://www.crunchbase.com/organization/villa-homes-8162,https://www.linkedin.com/company/villa-homes-adus/,https://villahomes.com/,55,Consumer,Homebuilding,San Francisco,CA,USA,Active
Dapper Laps,Axiom Zen,Dapper Labs is a consumer-focused flow blockchain product made for fun and games and supports digital collectables.,2018,$608,https://www.crunchbase.com/organization/dapper-labs,https://www.linkedin.com/company/dapper-labs/,https://www.dapperlabs.com/,599,Business,Software Development,Vancouver,,Canada,Active
Hammer and Tusk,Axiom Zen,Hammer & Tusk is driving virtual and augmented reality into the mainstream,2015,,https://www.crunchbase.com/organization/hammer-and-tusk,https://www.linkedin.com/company/hammer-&-tusk/about/,,,Business,Software Development,Vancouver,,Canada,Acquired
Routific,Axiom Zen,"Routific is a route optimization solution that helps delivery businesses plan more efficient routes, saving them time and up to 40% on fuel.",2015,$2,https://www.crunchbase.com/organization/routific,https://www.linkedin.com/company/routific/,https://routific.com/,31,Business,Software Development,Vancouver,,Canada,Active
Toby,Axiom Zen,"Flexible workspace platform that lives where you work, anywhere you work.",2016,,https://www.crunchbase.com/organization/toby-e7d0,https://www.linkedin.com/company/toby-%E2%9C%8C%EF%B8%8F/,https://www.gettoby.com/,4,Business,Software Development,Vancouver,,Canada,Active
ZenHub,Axiom Zen,"Zenhub helps teams ship great code faster with time-saving agile automations, less meetings, & more visibility in GitHub",2014,$5,https://www.crunchbase.com/organization/zenhub,https://www.linkedin.com/company/zenhub/,https://www.zenhub.com/,51,Business,Software Development,Vancouver,,Canada,Active
